"sigma","dist","dist_over_sigma","mean","sd","lower","upper"
1,0.0841683366733467,0.0841683366733467,0.4765,0,0.4765,0.4765
1,0.50501002004008,0.50501002004008,0.417,0,0.417,0.417
1,6.18637274549098,6.18637274549098,0.001,0,0.001,0.001
2,0.210420841683367,0.105210420841683,0.472,0,0.472,0.472
2,1.01002004008016,0.50501002004008,0.417,0,0.417,0.417
2,12.372745490982,6.18637274549098,0.001,0,0.001,0.001
3,0.294589178356713,0.0981963927855711,0.4731,0.00082158383625775,0.472079868929013,0.474120131070987
3,1.51503006012024,0.50501002004008,0.417,0,0.417,0.417
3,18.5591182364729,6.18637274549098,0.001,0,0.001,0.001
