"rep","has_drop","drop_from_index","drop_to_index","drop_size","dist_before","dist_after"
1,TRUE,1,2,0.066,0,0.275862068965517
2,TRUE,2,3,0.06,0.275862068965517,0.551724137931034
3,TRUE,2,3,0.081,0.275862068965517,0.551724137931034
4,TRUE,2,3,0.051,0.275862068965517,0.551724137931034
5,TRUE,1,2,0.051,0,0.275862068965517
6,TRUE,2,3,0.1,0.275862068965517,0.551724137931034
7,TRUE,4,5,0.059,0.827586206896552,1.10344827586207
8,TRUE,2,3,0.058,0.275862068965517,0.551724137931034
9,TRUE,3,4,0.054,0.551724137931034,0.827586206896552
10,TRUE,1,2,0.052,0,0.275862068965517
11,TRUE,3,4,0.154,0.551724137931034,0.827586206896552
12,TRUE,1,2,0.065,0,0.275862068965517
13,TRUE,4,5,0.06,0.827586206896552,1.10344827586207
14,TRUE,2,3,0.059,0.275862068965517,0.551724137931034
15,TRUE,3,4,0.065,0.551724137931034,0.827586206896552
16,TRUE,2,3,0.057,0.275862068965517,0.551724137931034
17,TRUE,2,3,0.055,0.275862068965517,0.551724137931034
18,TRUE,4,5,0.052,0.827586206896552,1.10344827586207
19,TRUE,2,3,0.055,0.275862068965517,0.551724137931034
20,TRUE,2,3,0.063,0.275862068965517,0.551724137931034
21,TRUE,3,4,0.054,0.551724137931034,0.827586206896552
22,TRUE,1,2,0.052,0,0.275862068965517
23,TRUE,3,4,0.055,0.551724137931034,0.827586206896552
24,TRUE,2,3,0.051,0.275862068965517,0.551724137931034
25,TRUE,1,2,0.061,0,0.275862068965517
26,TRUE,3,4,0.075,0.551724137931034,0.827586206896552
27,TRUE,2,3,0.066,0.275862068965517,0.551724137931034
28,TRUE,2,3,0.072,0.275862068965517,0.551724137931034
29,TRUE,2,3,0.053,0.275862068965517,0.551724137931034
30,TRUE,2,3,0.065,0.275862068965517,0.551724137931034
31,TRUE,2,3,0.08,0.275862068965517,0.551724137931034
32,TRUE,4,5,0.064,0.827586206896552,1.10344827586207
33,TRUE,2,3,0.055,0.275862068965517,0.551724137931034
34,TRUE,3,4,0.069,0.551724137931034,0.827586206896552
35,TRUE,3,4,0.152,0.551724137931034,0.827586206896552
36,TRUE,2,3,0.063,0.275862068965517,0.551724137931034
37,TRUE,2,3,0.059,0.275862068965517,0.551724137931034
38,TRUE,3,4,0.062,0.551724137931034,0.827586206896552
39,TRUE,1,2,0.056,0,0.275862068965517
40,TRUE,3,4,0.116,0.551724137931034,0.827586206896552
41,TRUE,2,3,0.071,0.275862068965517,0.551724137931034
42,TRUE,3,4,0.083,0.551724137931034,0.827586206896552
43,TRUE,2,3,0.063,0.275862068965517,0.551724137931034
44,TRUE,2,3,0.051,0.275862068965517,0.551724137931034
45,TRUE,2,3,0.057,0.275862068965517,0.551724137931034
46,TRUE,1,2,0.056,0,0.275862068965517
47,TRUE,1,2,0.057,0,0.275862068965517
48,TRUE,1,2,0.066,0,0.275862068965517
49,TRUE,1,2,0.055,0,0.275862068965517
50,TRUE,2,3,0.078,0.275862068965517,0.551724137931034
