"k","mean","sd","lower","upper"
1,0,0,0,0
2,0.046,0.0389301368550838,0.0181510577503327,0.0738489422496673
3,0.104,0.069633963616104,0.05418686323711,0.15381313676289
4,0.072,0.100862943310878,-0.000153003053964013,0.144153003053964
5,0.077,0.0770353454230228,0.021892233647805,0.132107766352195
6,0.063,0.0598238153989604,0.0202046205128395,0.105795379487161
7,0.136,0.11758684733705,0.0518834367061232,0.220116563293877
8,0.175,0.0924061085041941,0.10889665212765,0.24110334787235
9,0.124,0.0767680489092522,0.0690834460548727,0.178916553945127
