"k","mean","sd","lower","upper","d"
1,0,0,0,0,2
2,0.02849,0.0239988030433986,0.0276308829145865,0.0293491170854135,2
3,0.07478,0.0297171662510071,0.073716175057975,0.075843824942025,2
4,0.064028,0.0664336538168205,0.061649786097529,0.066406213902471,2
5,0.090568,0.0574182577940969,0.0885125222248635,0.0926234777751365,2
6,0.093872,0.0466734801993377,0.0922011673254518,0.0955428326745482,2
7,0.108818,0.073092222798858,0.10620142044377,0.11143457955623,2
8,0.117646666666667,0.0735963447657322,0.115012040385603,0.120281292947731,2
9,0.122479333333333,0.075939558279767,0.119760823920221,0.125197842746445,2
1,0,0,0,0,4
2,0.052826,0.0430141658467048,0.051286164670426,0.054365835329574,4
3,0.09568,0.0660423257938833,0.0933157949874682,0.0980442050125318,4
4,0.121565333333333,0.0743741279065252,0.118902863714258,0.124227802952409,4
5,0.137336666666667,0.0768774308147615,0.134584582982484,0.140088750350849,4
6,0.162382666666667,0.0864316437571897,0.159288558108924,0.16547677522441,4
7,0.175284,0.089091322614804,0.172094679379215,0.178473320620785,4
8,0.185992666666667,0.0921410473337307,0.182694170992147,0.189291162341186,4
9,0.204673333333333,0.0899322405565401,0.201453909254061,0.207892757412606,4
1,0,0,0,0,8
2,0.07415,0.0518697695290523,0.0722931488421201,0.0760068511578799,8
3,0.138021333333333,0.075788016770799,0.135308248853259,0.140734417813407,8
4,0.188201333333333,0.0883059007593785,0.185040129503792,0.191362537162875,8
5,0.233867333333333,0.0925974036313941,0.230552500865197,0.237182165801469,8
6,0.263941333333333,0.0928396482740686,0.260617828911392,0.267264837755274,8
7,0.291048,0.0898668443452359,0.28783091699592,0.29426508300408,8
8,0.311995333333333,0.0890759272671077,0.308806563840295,0.315184102826371,8
9,0.32874,0.0830689064235518,0.325766271825056,0.331713728174944,8
