"d","k","mean","sd","lower","upper"
2,1,0,0,0,0
2,2,0.02888,0.0231382668741501,0.0242888658637981,0.0334711341362019
2,3,0.0737,0.0333325757489667,0.0670860938158862,0.0803139061841138
2,4,0.06974,0.0701096716623752,0.0558287201017357,0.0836512798982643
2,5,0.10052,0.0739880525435825,0.0858391651928157,0.115200834807184
2,6,0.09756,0.051696534866195,0.0873022859180217,0.107817714081978
2,7,0.11434,0.0766158224025837,0.0991377586429059,0.129542241357094
2,8,0.1105,0.066344296337859,0.0973358522565347,0.123664147743465
2,9,0.12432,0.0695751726297869,0.110514776305843,0.138125223694157
4,1,0,0,0,0
4,2,0.0402,0.0328897761278087,0.033673954867332,0.046726045132668
4,3,0.09944,0.0657955695293913,0.0863847315600499,0.11249526843995
4,4,0.12316,0.0676569958755862,0.109735384189025,0.136584615810975
4,5,0.14212,0.08165451733995,0.125917972252046,0.158322027747954
4,6,0.1558,0.0786068082485881,0.140202703856305,0.171397296143695
4,7,0.17808,0.0852006164913438,0.161174349247226,0.194985650752774
4,8,0.17522,0.093521410069642,0.156663323280355,0.193776676719645
4,9,0.22308,0.0956907561266019,0.204092877958347,0.242067122041653
8,1,0,0,0,0
8,2,0.0667,0.0471870338293918,0.0573370687580639,0.0760629312419361
8,3,0.12694,0.0728487876260536,0.112485220068987,0.141394779931013
8,4,0.19082,0.101687218985724,0.170643049632885,0.210996950367115
8,5,0.2378,0.0968754276627901,0.218577813423931,0.257022186576069
8,6,0.26734,0.0921794714103685,0.249049593023927,0.285630406976073
8,7,0.29086,0.0876431031819021,0.273469706897683,0.308250293102317
8,8,0.3154,0.0845821577765749,0.298617064873796,0.332182935126204
8,9,0.33136,0.0867514177685211,0.314146636628955,0.348573363371045
